gene_id	NAFLD_001	NAFLD_002	NAFLD_003	NAFLD_004	NAFLD_005	NAFLD_006	NAFLD_007	NAFLD_008	NAFLD_009	NAFLD_010	NAFLD_011	NAFLD_012	NAFLD_013	NAFLD_014	NAFLD_015	NAFLD_016	NAFLD_017	NAFLD_018	NAFLD_019	NAFLD_020	NAFLD_021	NAFLD_022	NAFLD_023	NAFLD_024	NAFLD_025	NAFLD_026	NAFLD_027	NAFLD_028	NAFLD_029	NAFLD_030	NAFLD_031	NAFLD_032	NAFLD_033	NAFLD_034	NAFLD_035	NAFLD_036	NAFLD_037	NAFLD_038	NAFLD_039	NAFLD_040	NAFLD_041	NAFLD_042	NAFLD_043	NAFLD_044	NAFLD_045	NAFLD_046	NAFLD_047	NAFLD_048	NAFLD_049	NAFLD_050	NAFLD_051	NAFLD_052	NAFLD_053	NAFLD_054	NAFLD_055	NAFLD_056	NAFLD_057	NAFLD_058	NAFLD_059	NAFLD_060	NAFLD_061	NAFLD_062	NAFLD_063	NAFLD_064	NAFLD_065	NAFLD_066	NAFLD_067	NAFLD_068	NAFLD_069	NAFLD_070	NAFLD_071	NAFLD_072	NAFLD_073	NAFLD_074	NAFLD_075	NAFLD_076	NAFLD_077	NAFLD_078	NAFLD_079	NAFLD_080	NAFLD_081	NAFLD_082	NAFLD_083	NAFLD_084	NAFLD_085	NAFLD_086	NAFLD_087	NAFLD_088	NAFLD_089	NAFLD_090	NAFLD_091	NAFLD_092	NAFLD_093	NAFLD_094	NAFLD_095	NAFLD_096	NAFLD_097	NAFLD_098	NAFLD_099	NAFLD_100
ENSG00000130010	11.527	12.66	10.135	11.355	10.551	12.18	9.457	11.262	11.625	10.343	10.664	11.306	12.245	10.257	10.432	12.416	11.017	10.513	12.019	10.802	12.318	10.626	11.131	12.235	11.064	12.046	11.225	13.272	12.859	9.962	11.812	10.474	11.482	11.359	10.235	12.349	11.493	11.005	10.852	11.43	11.698	11.165	8.458	11.307	9.849	11.081	9.886	9.874	12.525	10.97	10.893	11.773	10.92	13.394	11.017	11.655	12.261	12.892	10.548	10.872	12.565	12.1	12.365	9.921	12.838	10.529	11.482	11.142	10.412	9.878	9.546	11.409	9.765	10.156	11.072	8.651	12.069	8.88	11.213	11.305	11.828	11.248	13.308	11.506	12.344	10.567	11.411	12.838	11.052	11.482	12.271	10.548	9.129	11.546	12.279	9.939	11.96	11.967	9.017	10.354
ENSG00000130011	9.108	7.568	9.036	10.873	9.233	9.442	7.951	8.595	8.836	8.894	10.493	9.769	8.1	9.458	9.71	10.352	10.792	8.197	8.401	7.954	8.978	9.678	10.199	9.136	8.892	9.363	8.377	11.301	7.604	9.396	11.235	9.218	9.022	8.854	9.031	10.585	7.0	10.745	7.788	8.945	8.782	9.8	7.614	9.674	11.236	7.848	9.401	8.55	9.638	9.231	8.57	9.7	11.016	9.021	9.931	7.918	8.255	9.684	10.696	9.567	8.899	9.211	7.961	9.816	10.094	8.76	8.742	9.478	8.775	9.146	11.311	8.965	8.853	8.564	9.956	9.03	8.562	10.533	10.631	8.611	7.345	10.219	8.527	10.002	7.242	10.104	8.0	9.942	9.226	8.258	8.805	9.898	9.318	9.796	11.188	7.647	10.829	9.316	8.313	7.881
ENSG00000130012	12.987	11.171	11.215	8.105	11.985	10.251	11.026	10.55	11.21	12.02	11.588	12.286	12.842	11.208	11.098	12.534	12.613	12.317	10.624	11.999	11.686	12.629	11.004	9.91	12.267	9.018	10.845	10.553	10.546	10.827	12.794	12.397	11.325	12.71	10.514	10.378	12.44	12.156	11.116	10.441	13.036	9.856	10.978	11.805	13.379	11.959	12.057	11.007	12.145	11.682	9.988	12.369	12.547	12.38	11.61	10.62	9.267	11.733	12.658	12.572	12.392	11.502	12.664	12.501	11.154	12.253	11.04	12.116	10.277	10.354	12.635	12.514	12.21	11.664	9.185	11.502	12.031	11.042	10.864	13.021	11.516	12.031	12.351	10.575	11.77	12.896	13.396	11.616	11.338	11.845	11.82	12.963	10.58	11.297	10.459	10.564	11.953	12.386	10.927	12.348
ENSG00000130013	11.711	10.761	10.13	10.643	8.723	10.908	9.47	9.147	8.977	11.612	9.87	12.033	9.964	8.792	9.383	11.735	10.344	9.951	10.66	11.001	11.617	11.948	10.14	9.173	10.086	10.76	9.536	9.542	10.843	10.451	10.532	9.741	10.269	9.575	11.39	11.535	8.653	9.57	9.003	9.849	10.416	9.05	9.578	9.496	10.707	10.569	9.778	10.676	9.953	10.228	12.173	11.84	9.2	11.329	11.311	9.351	11.318	12.037	9.377	9.582	11.517	10.771	11.051	10.84	10.89	9.173	11.547	11.669	10.27	10.456	8.968	11.014	11.072	10.437	11.624	10.165	11.064	9.48	10.476	10.325	10.725	10.13	10.368	11.326	10.063	8.893	12.249	11.881	9.207	11.189	9.997	10.763	10.794	10.265	9.716	9.809	9.583	9.668	10.432	9.784
ENSG00000130014	12.546	11.928	11.339	11.383	9.531	11.138	12.348	11.612	11.085	12.643	10.746	10.311	11.085	11.697	9.213	11.216	11.741	10.661	12.038	11.572	13.072	10.18	11.762	9.914	9.316	8.895	11.469	11.115	10.452	9.157	10.241	10.935	11.724	10.914	11.183	10.555	12.68	9.913	10.232	10.439	11.474	9.892	11.067	11.096	10.237	11.261	9.923	9.814	11.031	9.271	8.786	11.464	11.98	10.464	10.263	11.936	9.785	9.568	11.639	10.94	11.996	8.791	9.53	10.945	11.349	11.778	11.106	11.096	10.542	12.522	9.828	11.29	9.943	11.466	9.894	11.675	11.043	12.676	10.65	11.356	10.151	10.643	11.037	9.404	9.513	11.531	10.785	10.338	10.194	10.232	11.043	11.376	8.839	12.344	12.273	8.6	12.017	11.986	10.931	9.634
ENSG00000130015	9.976	10.572	8.634	9.734	8.722	9.903	8.752	9.24	8.652	10.299	10.506	9.413	9.686	8.199	9.348	9.598	12.269	8.536	11.112	10.645	9.928	11.406	10.02	10.037	9.595	10.871	10.744	9.022	8.329	9.445	8.848	9.584	10.885	9.191	9.605	9.706	10.496	7.401	9.041	9.859	10.848	9.156	7.771	10.268	9.012	8.458	9.023	9.463	9.043	7.442	10.545	10.923	10.299	8.51	9.446	9.641	10.247	10.316	8.914	9.73	10.105	11.104	10.352	10.437	9.732	11.058	10.058	8.787	11.051	10.346	9.205	9.168	9.944	10.111	9.845	9.959	11.348	10.719	9.838	10.589	8.615	10.046	11.457	9.43	8.8	8.996	8.558	8.863	9.277	8.242	9.663	10.55	8.74	11.167	10.159	10.678	8.99	10.502	8.556	10.538
ENSG00000130016	10.334	12.861	10.939	11.147	10.743	12.457	10.23	12.374	12.801	12.293	12.469	12.516	10.807	13.191	11.296	11.69	11.424	12.248	11.218	11.823	10.521	12.921	12.427	11.464	11.287	12.401	11.049	11.882	12.918	10.945	12.125	12.072	11.659	11.252	12.971	11.159	9.944	12.397	10.555	12.448	13.091	12.386	12.828	13.776	12.723	12.087	13.39	13.511	13.525	11.264	10.402	11.203	12.46	11.915	11.55	12.317	10.285	11.897	12.875	12.306	12.448	13.354	11.69	11.103	12.946	12.927	12.315	11.596	11.758	10.48	12.869	12.834	10.445	12.624	12.16	10.734	10.55	12.13	11.359	13.576	12.709	12.23	12.279	13.087	12.603	12.256	10.776	14.818	10.653	11.444	10.102	12.295	11.907	12.522	10.017	12.869	10.949	11.607	12.688	12.018
ENSG00000130017	10.401	12.154	12.161	10.727	12.427	10.9	11.785	12.352	11.498	11.986	11.015	11.335	11.326	10.785	11.355	9.983	11.041	11.247	11.275	11.29	11.47	12.011	12.406	10.882	10.328	10.49	11.044	11.18	10.762	10.236	11.076	11.713	12.127	10.974	11.119	10.605	11.5	10.683	12.105	9.746	11.172	11.833	11.715	14.225	11.881	10.528	11.436	9.755	11.451	10.699	12.447	10.982	11.415	10.896	13.271	11.21	13.364	12.346	12.014	11.9	11.925	9.604	11.253	12.377	11.483	10.126	11.479	13.236	12.779	11.47	12.483	11.165	9.828	10.607	13.095	11.258	11.288	11.232	13.436	13.158	13.75	11.373	11.827	10.015	13.009	10.364	11.748	10.434	10.943	10.694	10.924	10.993	10.983	12.365	10.427	11.752	12.75	11.018	10.814	11.301
ENSG00000130018	10.629	10.695	10.747	9.249	9.545	9.55	9.866	10.766	10.523	10.602	11.581	10.916	10.085	9.043	9.513	9.965	11.056	10.2	9.571	9.494	10.158	11.117	11.818	10.021	10.182	9.013	12.166	8.826	11.399	9.862	9.628	9.117	12.637	10.449	10.248	11.114	9.576	10.229	10.283	9.715	11.427	10.008	8.674	9.926	10.476	9.334	9.413	9.681	11.448	9.74	11.656	9.612	10.552	9.781	10.981	9.109	10.97	10.341	9.587	10.061	11.761	10.365	9.524	9.022	10.733	10.423	10.922	8.765	9.055	11.374	10.558	10.761	9.264	9.246	11.218	11.266	9.139	8.948	10.119	9.428	9.407	8.976	9.759	9.072	9.132	10.526	10.172	10.712	8.578	10.237	12.303	9.855	11.052	11.043	11.092	10.394	10.793	10.926	10.863	9.11
ENSG00000130019	10.577	9.408	10.78	8.538	8.82	9.036	9.116	8.588	10.868	9.386	9.997	9.074	7.824	9.915	7.733	9.576	8.276	11.632	10.556	9.751	10.908	8.798	10.188	9.845	9.909	10.917	10.377	9.934	7.99	8.685	9.522	9.738	8.515	12.056	11.161	10.247	9.717	9.433	8.693	9.722	9.903	8.403	9.979	9.49	7.737	8.784	9.231	11.532	10.201	8.309	10.131	8.097	10.727	9.174	9.551	10.971	8.358	8.248	9.061	10.683	8.125	6.813	9.194	10.197	10.845	9.182	9.233	10.799	7.775	9.256	9.835	10.094	9.135	9.679	7.156	8.987	10.098	8.662	9.704	10.092	9.302	9.815	8.682	9.438	10.255	9.802	9.058	9.869	10.359	7.595	10.804	9.309	10.07	10.842	8.273	8.935	9.356	8.861	11.38	8.788
ENSG00000130020	10.467	9.953	10.256	10.283	9.433	10.34	10.786	11.651	10.647	9.056	10.986	10.377	12.003	12.062	12.097	10.071	12.622	10.984	12.259	10.13	10.334	10.907	10.785	11.887	10.401	11.797	11.365	10.419	11.287	10.159	12.983	7.968	11.306	8.868	10.407	10.547	12.14	9.94	11.941	9.454	11.979	10.158	10.706	10.296	11.915	11.72	11.076	9.481	9.918	9.604	8.384	11.894	10.305	10.294	12.129	10.157	9.792	10.408	9.5	10.977	10.259	10.125	10.039	10.526	10.716	10.113	10.274	10.551	10.45	10.664	9.956	11.637	10.729	10.129	10.977	10.558	8.899	10.974	9.613	11.567	10.391	11.413	10.002	10.703	11.843	10.364	10.042	11.288	11.268	10.084	8.647	10.023	11.31	9.858	10.622	9.975	8.7	9.957	11.306	8.262
ENSG00000130021	9.974	8.959	8.039	9.101	8.186	7.951	7.491	6.894	8.256	8.804	8.549	8.23	7.7	9.254	7.328	9.421	7.643	7.893	7.179	8.144	9.621	9.161	9.624	9.168	7.542	8.315	7.865	9.976	7.449	9.539	9.538	10.475	8.236	9.358	10.927	8.028	7.11	6.765	9.358	6.762	8.273	9.083	8.831	9.071	8.868	9.924	7.693	7.968	7.873	9.476	9.546	9.097	9.829	7.467	10.313	10.169	9.381	10.427	6.989	8.121	7.91	9.367	7.595	9.403	10.016	9.341	8.929	7.658	7.799	9.895	9.425	8.606	8.228	6.62	7.575	10.557	7.365	8.835	9.653	7.391	8.83	9.583	8.658	11.514	6.977	9.704	8.473	9.417	9.087	7.912	8.874	6.788	9.249	8.944	9.284	9.704	9.013	8.794	7.764	7.933
ENSG00000130022	11.86	12.382	11.812	9.402	8.677	11.356	9.887	10.934	12.182	9.99	10.27	10.924	9.35	9.889	10.672	10.347	11.256	13.413	10.746	9.806	12.066	9.059	9.258	10.052	10.364	10.028	10.616	10.922	11.716	10.739	10.085	11.662	9.83	9.015	11.853	11.789	9.855	10.248	9.73	10.974	12.379	11.35	11.683	11.467	10.647	11.731	11.392	12.087	10.188	8.909	11.693	10.997	10.351	10.407	13.202	10.005	9.794	10.733	11.828	12.926	11.305	9.377	12.618	10.628	9.81	9.568	11.484	10.886	10.992	11.934	9.845	12.013	10.128	12.811	11.246	9.727	8.622	11.456	10.273	10.492	11.414	11.658	11.871	9.472	12.073	10.068	8.391	9.469	10.865	9.669	10.559	10.986	10.466	10.153	9.397	10.669	8.582	9.961	9.72	10.408
ENSG00000130023	9.739	10.178	10.824	13.486	11.007	11.711	11.934	11.664	11.456	10.338	12.984	13.34	9.85	10.509	11.253	10.569	12.039	10.805	13.698	12.724	11.746	12.56	12.639	10.969	10.717	11.611	12.395	11.672	9.956	10.73	11.459	11.457	13.506	10.147	12.039	13.022	13.805	11.129	12.025	12.103	11.729	11.434	11.969	9.001	12.215	11.659	11.311	13.58	10.858	11.13	13.525	10.701	10.983	11.386	12.374	11.741	10.24	11.001	10.926	11.456	11.959	11.951	9.757	12.597	11.786	12.918	11.977	12.634	12.0	12.879	12.055	11.435	13.806	12.422	12.107	10.257	10.245	11.826	11.679	10.919	11.674	13.122	12.228	10.392	11.422	10.728	11.145	11.119	11.055	10.278	11.405	10.972	8.604	13.586	12.622	11.157	11.552	10.361	13.229	13.43
ENSG00000130024	12.059	11.581	13.616	12.109	11.024	12.333	9.875	11.632	11.831	11.643	11.178	10.5	10.723	11.614	10.399	13.282	8.871	11.189	11.623	12.02	10.596	12.646	10.118	10.946	12.133	12.552	10.108	14.157	10.615	10.2	12.015	11.164	11.016	12.108	9.985	9.81	10.915	12.59	10.958	13.111	12.713	11.795	11.852	11.794	11.672	11.146	11.262	10.442	9.302	12.616	11.669	11.518	11.911	10.684	10.511	11.228	12.88	10.343	8.885	10.991	12.655	9.78	10.332	11.776	14.082	10.154	10.115	11.851	12.717	10.888	9.891	11.946	12.127	13.291	12.169	12.34	11.25	13.954	11.114	10.9	13.322	10.038	9.665	11.632	11.51	11.284	12.506	10.604	11.576	11.152	10.621	11.45	12.365	13.633	12.092	9.001	11.474	11.562	12.448	11.697
ENSG00000130025	10.09	11.7	10.709	10.582	9.118	10.675	9.556	9.749	9.572	9.322	12.513	11.719	12.308	9.165	10.459	9.094	9.692	9.47	11.627	9.992	11.456	10.992	12.691	8.908	11.647	11.534	9.414	11.395	10.724	10.16	9.564	9.669	12.438	10.388	11.17	9.597	9.608	11.47	9.038	9.973	10.422	10.499	10.209	10.784	11.081	11.122	9.402	10.104	11.583	11.282	9.015	10.739	8.41	10.435	12.286	9.44	9.553	11.152	8.845	9.755	10.984	9.753	10.152	11.132	10.809	10.655	10.049	10.758	10.264	10.846	9.891	10.205	9.398	10.353	9.577	9.274	10.646	10.601	11.171	9.957	10.796	10.939	10.833	9.562	10.537	10.752	10.395	8.301	10.548	12.6	10.028	9.66	10.761	10.7	11.581	9.13	11.119	10.978	10.246	10.726
ENSG00000130026	11.836	10.712	12.28	12.585	11.987	11.067	11.23	13.241	11.083	12.484	11.773	11.1	10.089	11.646	11.525	13.241	10.574	13.729	11.813	11.812	10.841	11.749	11.907	12.371	10.456	12.841	11.795	12.042	11.213	10.506	11.507	11.621	10.049	12.227	12.431	10.704	10.411	11.131	11.458	11.17	11.373	11.656	10.066	10.181	8.712	12.377	11.449	12.482	10.296	11.458	11.649	10.872	9.881	13.18	12.833	11.052	11.944	10.949	10.439	13.261	9.779	11.149	11.518	13.085	12.331	9.762	11.431	11.455	11.206	12.054	10.025	11.025	11.913	12.114	11.583	11.146	11.314	12.174	11.468	10.392	10.201	9.944	12.89	12.241	11.328	10.98	10.86	12.527	13.338	10.829	12.572	11.462	11.222	12.938	11.424	11.73	11.682	9.808	11.722	10.871
ENSG00000130027	10.047	8.829	10.384	8.885	8.6	8.623	7.611	9.854	7.551	8.154	7.307	9.296	9.232	9.056	8.34	8.21	9.847	8.832	9.699	8.497	9.563	10.686	9.968	8.97	9.64	9.142	9.39	9.057	9.218	9.594	8.389	8.366	7.994	7.782	8.165	9.542	8.49	9.896	9.417	7.414	10.037	10.193	8.388	9.803	8.526	9.48	8.118	7.589	9.0	9.259	8.985	8.198	8.982	9.652	9.337	9.565	8.712	10.554	8.206	9.87	10.564	9.863	9.18	8.854	10.418	7.959	8.412	8.985	10.62	9.762	8.414	9.072	8.768	8.673	10.361	8.011	10.991	10.211	10.473	8.919	9.232	7.949	8.858	9.876	10.678	8.275	9.017	9.231	7.987	9.974	8.658	9.187	8.93	8.593	9.375	9.167	9.01	8.654	9.702	11.036
ENSG00000130028	13.083	13.952	11.068	11.109	11.292	12.134	12.864	10.885	11.919	11.402	12.156	13.047	11.298	9.868	12.282	10.705	11.395	12.325	11.835	11.436	10.962	8.638	12.236	11.285	13.051	11.936	10.997	12.605	12.689	11.319	12.732	10.983	11.698	12.109	12.323	12.159	11.205	12.632	11.413	10.969	10.984	13.478	10.796	12.83	10.402	12.026	11.835	13.159	10.884	10.607	11.421	13.203	10.654	8.949	11.598	12.487	10.524	12.386	10.502	11.391	12.291	10.35	11.719	12.753	12.012	10.817	13.057	12.196	9.677	12.402	10.967	11.734	12.546	10.988	9.892	13.043	12.702	11.451	12.391	11.169	11.635	11.394	11.209	11.897	10.33	11.286	11.852	13.376	10.37	12.058	12.168	9.661	11.948	12.418	12.127	11.454	11.871	11.708	9.848	11.731
ENSG00000130029	7.603	8.574	8.522	6.322	10.227	9.502	7.814	7.109	8.559	8.298	8.567	8.403	8.718	9.659	8.779	7.162	9.574	9.852	11.363	7.088	8.454	6.129	8.764	7.663	10.135	7.437	6.522	7.74	6.236	8.962	6.146	8.24	6.133	7.891	9.855	8.572	7.348	8.18	8.229	8.684	6.844	8.804	5.507	7.581	7.723	8.845	8.234	6.806	7.226	8.41	8.132	7.632	7.73	8.907	7.694	8.123	10.381	6.788	6.359	8.995	7.533	7.893	7.43	7.952	9.81	9.013	9.074	6.795	7.06	5.372	7.402	9.168	8.728	7.99	8.189	7.522	8.416	8.977	6.595	8.511	9.144	7.796	8.912	11.026	8.107	8.605	7.473	8.393	8.672	8.406	7.192	8.418	9.674	8.66	9.173	7.974	8.961	8.491	7.26	8.53
